X,Результаты модуля (RealMathModule),Результаты модуля (IterMathModule)
-5.9351,1.5092567875665141E7,1.5092567834916957E7
-5.934,1.4772233149699466E7,1.4772233110591302E7
-5.9329,1.4459535776166467E7,1.4459535738634571E7
-5.9318,1.4154270513968417E7,1.4154270477951145E7
-5.9307,1.3856238301133694E7,1.3856238266572308E7
-5.9296,1.356524604842152E7,1.3565246015259707E7
-5.9285,1.3281106440498095E7,1.328110640868179E7
-5.9274000000000004,1.3003637744384687E7,1.3003637713861885E7
-5.9263,1.2732663624884719E7,1.2732663595605718E7
-5.9252,1.2468012966719117E7,1.2468012938636232E7
-5.9241,1.220951970309693E7,1.220951967616432E7
-5.923,1.1957022650472773E7,1.1957022624646531E7
-5.9219,1.1710365349246329E7,1.1710365324484305E7
-5.9208,1.146939591017111E7,1.1469395886432946E7
-5.9197,1.1233966866249662E7,1.1233966843496585E7
-5.9186,1.1003935029902214E7,1.100393500809687E7
-5.9175,1.0779161355203519E7,1.0779161334310273E7
-5.9164,1.0559510804992175E7,1.0559510784976685E7
-5.9153,1.034485222266624E7,1.0344852203495575E7
-5.9142,1.0135058208482333E7,1.013505819012505E7
-5.9131,9930005.000188628,9930004.98261422
-5.912,9729572.357823798,9729572.341003262
-5.9109,9533643.452526253,9533643.436431635
-5.9098,9342104.759199625,9342104.743804086
-5.9087,9154845.952889027,9154845.938166764
-5.9076,8971759.808729546,8971759.794655915
-5.9065,8792742.105331063,8792742.0918821
-5.9054,8617691.531472381,8617691.518625384
-5.9043,8446509.595980434,8446509.583713539
-5.9032,8279100.540676246,8279100.5289683165
-5.9021,8115371.256273207,8115371.245104011
-5.901,7955231.2011204325,7955231.1904705
-5.8999,7798592.322684284,7798592.312534973
-5.8988,7645368.981668916,7645368.972002337
-5.8977,7495477.878678752,7495477.869477691
-5.8966,7348837.983329462,7348837.974577241
-5.8955,7205370.465719639,7205370.457400427
-5.8944,7064998.630176819,7064998.622275362
-5.8933,6927647.851195478,6927647.843696965
-5.8922,6793245.511487571,6793245.504377965
-5.8911,6661720.9420716325,6661720.935337277
-5.89,6533005.364324537,6533005.357952411
-5.8889,6407031.833928331,6407031.827905942
-5.8878,6283735.186643216,6283735.1809584685
-5.8867,6163051.98584168,6163051.980482926
-5.8856,6044920.471743027,6044920.466699152
-5.8845,5929280.512286425,5929280.507546718
-5.8834,5816073.555585808,5816073.551139955
-5.8823,5705242.583910918,5705242.579748943
-5.8812,5596732.069141109,5596732.065253503
-5.8801,5490487.929640439,5490487.926018076
-5.879,5386457.488505128,5386457.485139171
-5.8779,5284589.433134882,5284589.43001683
-5.8768,5184833.776082795,5184833.773204539
-5.8757,5087141.8171407115,5087141.814494336
-5.8746,4991466.106615228,4991466.104193249
-5.8735,4897760.4097563755,4897760.407551488
-5.8724,4805979.672297174,4805979.670302402
-5.8713,4716079.987067762,4716079.985276377
-5.8702,4628018.561646991,4628018.560052545
-5.8690999999999995,4541753.687016271,4541753.685612521
-5.868,4457244.707182143,4457244.705963122
-5.8669,4374451.989734558,4374451.988694476
-5.8658,4293336.8973100325,4293336.8964433065
-5.8647,4213861.759928499,4213861.75922983
-5.8636,4135989.848175674,4135989.847639934
-5.8625,4059685.347202052,4059685.3468242926
-5.8614,3984913.331511575,3984913.3312870264
-5.8603,3911639.7405141164,3911639.7404381875
-5.8592,3839831.3548162556,3839831.3548845453
-5.8581,3769455.7732261433,3769455.7734343805
-5.857,3700481.39044904,3700481.390793187
-5.8559,3632877.3754510647,3632877.3759271535
-5.8548,3566613.6504686796,3566613.6510729147
-5.8537,3501660.8706438523,3501660.8713725773
-5.8526,3437990.4042638973,3437990.405113613
-5.8515,3375574.313586671,3375574.3145539854
-5.8504,3314385.336232002,3314385.337313675
-5.8493,3254396.8671217165,3254397.201735893
-5.8482,3195582.9409494456,3195583.264589905
-5.8471,3137918.2151650623,3137918.5282056527
-5.846,3081377.953455297,3081378.256256822
-5.8449,3025938.0097062974,3025938.3026169697
-5.8438,2971574.812432061,2971575.095787947
-5.8427,2918265.349653968,2918265.6237794487
-5.8416,2865987.154217686,2865987.4194258503
-5.8405,2814718.289533084,2814718.5461261543
-5.8394,2764437.3357241494,2764437.5839938684
-5.8383,2715123.3761759787,2715123.6164039434
-5.8372,2666755.9844666044,2666756.216924697
-5.8361,2619315.211671399,2619315.436622095
-5.835,2572781.5740286554,2572781.791725353
-5.8339,2527136.0409549824,2527136.251642349
-5.8328,2482360.0233998955,2482360.2273141737
